region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,InTransit,Transfer,NVC
AF,3,2022AF3,RID,Ready,24-Oct-2020,22-Dec-2021,0,0,4,0,0,0,0
AF,4,2022AF4,ALG,Ready,09-Nov-2020,12-Dec-2021,0,0,1,0,0,0,0
AF,7,2022AF7,ALG,Ready,29-Oct-2020,03-Jan-2022,0,0,2,0,0,0,0
AF,14,2022AF14,ALG,Issued,02-Nov-2020,21-Dec-2021,5,0,0,0,0,0,0
AF,15,2022AF15,YDE,Ready,09-Nov-2020,13-Jan-2022,0,0,2,0,0,0,0
AF,18,2022AF18,ALG,Ready,26-Oct-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,20,2022AF20,ALG,Ready,04-Nov-2020,03-Jan-2022,0,0,1,0,0,0,0
AF,36,2022AF36,,In Transit,,,0,0,0,0,1,0,0
AF,48,2022AF48,CSB,Ready,27-Oct-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,50,2022AF50,CSB,Ready,17-Oct-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,54,2022AF54,,In Transit,,,0,0,0,0,1,0,0
AF,64,2022AF64,CSB,Ready,01-Nov-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,66,2022AF66,DOH,Ready,08-Nov-2020,23-Dec-2021,0,0,1,0,0,0,0
AF,81,2022AF81,,In Transit,,,0,0,0,0,1,0,0
AF,82,2022AF82,DOH,Ready,25-Oct-2020,06-Jan-2022,0,0,3,0,0,0,0
AF,83,2022AF83,YDE,Ready,07-Nov-2020,14-Dec-2021,0,0,1,0,0,0,0
AF,84,2022AF84,CSB,Ready,31-Oct-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,98,2022AF98,YDE,Ready,03-Nov-2020,13-Jan-2022,0,0,1,0,0,0,0
AF,100,2022AF100,CSB,Ready,08-Nov-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,104,2022AF104,CSB,Issued,19-Oct-2020,02-Dec-2021,1,0,0,0,0,0,0
AF,109,2022AF109,,In Transit,,,0,0,0,0,1,0,0
AF,115,2022AF115,COT,Ready,10-Oct-2020,03-Jan-2022,0,0,1,0,0,0,0
AF,118,2022AF118,ALG,Ready,01-Nov-2020,03-Jan-2022,0,0,1,0,0,0,0
AF,120,2022AF120,ALG,Ready,10-Nov-2020,03-Jan-2022,0,0,1,0,0,0,0
AF,122,2022AF122,CSB,Issued,03-Nov-2020,02-Dec-2021,1,0,0,0,0,0,0
AF,127,2022AF127,CSB,Ready,05-Nov-2020,10-Jan-2022,0,0,1,0,0,0,0
AF,129,2022AF129,ALG,Ready,08-Oct-2020,11-Jan-2022,0,0,1,0,0,0,0
AF,130,2022AF130,CRO,Issued,08-Nov-2020,15-Dec-2021,1,0,0,0,0,0,0
